cnum,instructor,cname,hours,rating
3763,"YTTRI, ERIC",ADV SYS NEUROSCIENCE,7.493333333333333,4.276666666666666
3765,"BRASIER, DANIEL",ADV NEURAL CORR. LRN,5.75,4.5
3765,"KUHLMAN, SANDRA",ADV NEURAL CORR. LRN,6.8,4.0
3766,"BRASIER, DANIEL",ADV NEUROPHARMA,8.9,4.4
3776,"MCGUIER, NATALIE",MOL TECH BIOPROCESS,12.5,4.5
3791,"HILLER, NATALIA",ADV MICROBIO,7.831999999999999,4.742
3791,"MITCHELL, AARON",ADV MICROBIO,7.8,4.616666666666666
4330,"BISHOP, MARY",FUND. OF SWD,20.18625,4.38
4330,"BIYABANI, AZIZUDDIN",FUND. OF SWD,19.505000000000003,3.635
4601,"BROWN, TIMOTHY",FIRST-YEAR SEMINAR,8.045,4.7875
4601,"KELLY, LUCY-ANNA",FIRST-YEAR SEMINAR,7.295555555555556,4.827777777777778
4601,"KROGH, BRUCE",FIRST-YEAR SEMINAR,5.56,4.63
4602,"BHAGAVATULA, VIJAYAKUMAR",MSIT FIRST-YEAR SEMR,7.08,4.46
4602,"BROWN, TIMOTHY",MSIT FIRST-YEAR SEMR,8.0,4.27
4602,"KELLY, LUCY-ANNA",MSIT FIRST-YEAR SEMR,7.5249999999999995,4.4350000000000005
4602,"KROGH, BRUCE",MSIT FIRST-YEAR SEMR,4.4,4.56
4605,"KELLY, LUCY-ANNA",MSIT SECOND YR SEMR,10.204999999999998,4.195
4605,"KHAN, ZAIN",MSIT SECOND YR SEMR,7.0,3.67
4605,"SAINT, MARTIN",MSIT SECOND YR SEMR,8.097777777777777,4.32
4611,"BEZY, MICHEL",STRAG DIGTL INF ENTR,13.115,4.628333333333333
4612,"BEZY, MICHEL",MKT PLAN HI TEC INNO,12.53,4.87
4613,"MUKAMAKUZA, CARINE PIERRETT","ICT BUS ECON, FIN",12.33,3.89
4613,"SAINT, MARTIN",ICT BUS ECON  FIN,11.21,4.38
4613,"SKELTON, SHAUN","ICT BUS ECON, FIN",12.76,4.475
4614,"ROSS, DAVID",AFRICAN VENTURE FUND,7.63,4.5
4621,"BIYABANI, AZIZUDDIN",BLOCKCHAIN & CRYPTO,12.5,4.0
4621,"SAINT, MARTIN",BLOCKCHAIN & CRYPTO,14.059999999999999,4.045
4630,"GOMEZ, NESTOR",DATA STRUC ALGO 4ENG,15.66,4.695
4630,"KOMPALLI, SURYAPRAKASH",DATA STRUC ALGO 4ENG,16.055,4.4
